Epochs,Batch Size 5,Batch Size 10,Batch Size 20,Batch Size 50
10,0.4352303073318458,0.9651691056280388,3.675007731619493,10.085569325317861
50,0.011353761670985759,0.11360366287974154,0.2659432855417386,0.5481409058656499
100,0.010975674903127564,0.018941234925049167,0.2582594209186807,0.4799523362340748
200,0.011222604099529106,0.009864021749854585,0.023567787508215615,0.10945385355222202
